Year	FT_ID	LU_ID	Popsize
0	1	0	0
0	1	1	2636
0	1	2	3475
0	1	3	1465
0	1	4	233
0	1	5	0
0	10	0	36
0	10	1	1609
0	10	2	826
0	10	3	1404
0	10	4	20
0	10	5	0
0	11	0	125
0	11	1	4579
0	11	2	1439
0	11	3	2216
0	11	4	128
0	11	5	0
0	12	0	0
0	12	1	2872
0	12	2	4835
0	12	3	2061
0	12	4	179
0	12	5	0
0	13	0	225
0	13	1	5987
0	13	2	1444
0	13	3	2793
0	13	4	68
0	13	5	0
0	14	0	151
0	14	1	5843
0	14	2	1224
0	14	3	2771
0	14	4	73
0	14	5	0
0	15	0	160
0	15	1	5709
0	15	2	1266
0	15	3	2355
0	15	4	109
0	15	5	0
0	2	0	0
0	2	1	2470
0	2	2	3054
0	2	3	1355
0	2	4	161
0	2	5	0
0	3	0	39
0	3	1	1574
0	3	2	730
0	3	3	1044
0	3	4	23
0	3	5	0
0	4	0	44
0	4	1	1434
0	4	2	739
0	4	3	1003
0	4	4	17
0	4	5	0
0	5	0	198
0	5	1	3879
0	5	2	1445
0	5	3	1739
0	5	4	78
0	5	5	0
0	6	0	0
0	6	1	2728
0	6	2	4232
0	6	3	1805
0	6	4	153
0	6	5	0
0	7	0	0
0	7	1	854
0	7	2	2308
0	7	3	1136
0	7	4	30
0	7	5	0
0	8	0	192
0	8	1	5247
0	8	2	1334
0	8	3	2508
0	8	4	61
0	8	5	0
0	9	0	246
0	9	1	5264
0	9	2	1313
0	9	3	2494
0	9	4	90
0	9	5	0
1	1	0	0
1	1	1	2729
1	1	2	5719
1	1	3	1827
1	1	4	403
1	1	5	0
1	10	0	29
1	10	1	1712
1	10	2	495
1	10	3	1979
1	10	4	9
1	10	5	0
1	11	0	258
1	11	1	6716
1	11	2	1271
1	11	3	3985
1	11	4	123
1	11	5	0
1	12	0	0
1	12	1	3438
1	12	2	8863
1	12	3	3185
1	12	4	291
1	12	5	0
1	13	0	455
1	13	1	9692
1	13	2	1288
1	13	3	5716
1	13	4	59
1	13	5	0
1	14	0	305
1	14	1	9604
1	14	2	1088
1	14	3	5624
1	14	4	61
1	14	5	0
1	15	0	305
1	15	1	9111
1	15	2	1121
1	15	3	4734
1	15	4	91
1	15	5	0
1	2	0	0
1	2	1	2474
1	2	2	4305
1	2	3	1575
1	2	4	266
1	2	5	0
1	3	0	21
1	3	1	1534
1	3	2	371
1	3	3	1126
1	3	4	8
1	3	5	0
1	4	0	35
1	4	1	1322
1	4	2	358
1	4	3	949
1	4	4	3
1	4	5	0
1	5	0	359
1	5	1	4991
1	5	2	1230
1	5	3	2554
1	5	4	70
1	5	5	0
1	6	0	0
1	6	1	2994
1	6	2	7621
1	6	3	2600
1	6	4	314
1	6	5	0
1	7	0	0
1	7	1	627
1	7	2	2655
1	7	3	1239
1	7	4	17
1	7	5	0
1	8	0	413
1	8	1	7603
1	8	2	1275
1	8	3	4508
1	8	4	66
1	8	5	0
1	9	0	502
1	9	1	7889
1	9	2	1242
1	9	3	4642
1	9	4	95
1	9	5	0
2	1	0	0
2	1	1	3894
2	1	2	11771
2	1	3	3001
2	1	4	830
2	1	5	0
2	10	0	55
2	10	1	2705
2	10	2	581
2	10	3	3700
2	10	4	9
2	10	5	0
2	11	0	724
2	11	1	12881
2	11	2	1755
2	11	3	8716
2	11	4	134
2	11	5	0
2	12	0	0
2	12	1	5904
2	12	2	19923
2	12	3	6704
2	12	4	602
2	12	5	0
2	13	0	1072
2	13	1	21962
2	13	2	1851
