Type	ID	R	b	c	mu	omega	dispsd	dispmean	flying_period	dist_eff	trans_effect_nest	trans_effect_res
1	1	2.5	1	0	0.1	0.5	60	600	1	0.3	0	0
2	2	3.5	1	2	0.1	0.5	30	300	1	0.3	0	0
3	3	4.5	1	4	0.1	0.5	10	100	1	0.3	0	0
4	4	2.5	1	0	0.1	0.5	60	600	1	0.9	0	0
5	5	3.5	1	2	0.1	0.5	30	300	1	0.9	0	0
6	6	4.5	1	4	0.1	0.5	10	100	1	0.9	0	0
7	7	3	1	0	0.1	0.5	60	600	1	0.3	0	0
8	8	4	1	2	0.1	0.5	30	300	1	0.3	0	0
9	9	5	1	4	0.1	0.5	10	100	1	0.3	0	0
10	10	3	1	0	0.1	0.5	60	600	1	0.9	0	0
11	11	4	1	2	0.1	0.5	30	300	1	0.9	0	0
12	12	5	1	4	0.1	0.5	10	100	1	0.9	0	0
13	13	2.5	1	1	0.1	0.5	60	600	1	0.3	0	0
14	14	3.5	1	3	0.1	0.5	30	300	1	0.3	0	0
15	15	4.5	1	5	0.1	0.5	10	100	1	0.3	0	0
16	16	2.5	1	1	0.1	0.5	60	600	1	0.9	0	0
17	17	3.5	1	3	0.1	0.5	30	300	1	0.9	0	0
18	18	4.5	1	5	0.1	0.5	10	100	1	0.9	0	0
19	19	3	1	1	0.1	0.5	60	600	1	0.3	0	0
20	20	4	1	3	0.1	0.5	30	300	1	0.3	0	0
21	21	5	1	5	0.1	0.5	10	100	1	0.3	0	0
22	22	3	1	1	0.1	0.5	60	600	1	0.9	0	0
23	23	4	1	3	0.1	0.5	30	300	1	0.9	0	0
24	24	5	1	5	0.1	0.5	10	100	1	0.9	0	0
25	25	2.5	1	0	0.1	0.5	60	600	2	0.3	0	0
26	26	3.5	1	2	0.1	0.5	30	300	2	0.3	0	0
27	27	4.5	1	4	0.1	0.5	10	100	2	0.3	0	0
28	28	2.5	1	0	0.1	0.5	60	600	2	0.9	0	0
29	29	3.5	1	2	0.1	0.5	30	300	2	0.9	0	0
30	30	4.5	1	4	0.1	0.5	10	100	2	0.9	0	0
31	31	3	1	0	0.1	0.5	60	600	2	0.3	0	0
32	32	4	1	2	0.1	0.5	30	300	2	0.3	0	0
33	33	5	1	4	0.1	0.5	10	100	2	0.3	0	0
34	34	3	1	0	0.1	0.5	60	600	2	0.9	0	0
35	35	4	1	2	0.1	0.5	30	300	2	0.9	0	0
36	36	5	1	4	0.1	0.5	10	100	2	0.9	0	0
37	37	2.5	1	1	0.1	0.5	60	600	2	0.3	0	0
38	38	3.5	1	3	0.1	0.5	30	300	2	0.3	0	0
39	39	4.5	1	5	0.1	0.5	10	100	2	0.3	0	0
40	40	2.5	1	1	0.1	0.5	60	600	2	0.9	0	0
41	41	3.5	1	3	0.1	0.5	30	300	2	0.9	0	0
42	42	4.5	1	5	0.1	0.5	10	100	2	0.9	0	0
43	43	3	1	1	0.1	0.5	60	600	2	0.3	0	0
44	44	4	1	3	0.1	0.5	30	300	2	0.3	0	0
45	45	5	1	5	0.1	0.5	10	100	2	0.3	0	0
46	46	3	1	1	0.1	0.5	60	600	2	0.9	0	0
47	47	4	1	3	0.1	0.5	30	300	2	0.9	0	0
48	48	5	1	5	0.1	0.5	10	100	2	0.9	0	0
49	49	2.5	1	0	0.1	0.5	60	600	3	0.3	0	0
50	50	3.5	1	2	0.1	0.5	30	300	3	0.3	0	0
51	51	4.5	1	4	0.1	0.5	10	100	3	0.3	0	0
52	52	2.5	1	0	0.1	0.5	60	600	3	0.9	0	0
53	53	3.5	1	2	0.1	0.5	30	300	3	0.9	0	0
54	54	4.5	1	4	0.1	0.5	10	100	3	0.9	0	0
55	55	3	1	0	0.1	0.5	60	600	3	0.3	0	0
56	56	4	1	2	0.1	0.5	30	300	3	0.3	0	0
57	57	5	1	4	0.1	0.5	10	100	3	0.3	0	0
58	58	3	1	0	0.1	0.5	60	600	3	0.9	0	0
59	59	4	1	2	0.1	0.5	30	300	3	0.9	0	0
60	60	5	1	4	0.1	0.5	10	100	3	0.9	0	0
61	61	2.5	1	1	0.1	0.5	60	600	3	0.3	0	0
62	62	3.5	1	3	0.1	0.5	30	300	3	0.3	0	0
63	63	4.5	1	5	0.1	0.5	10	100	3	0.3	0	0
64	64	2.5	1	1	0.1	0.5	60	600	3	0.9	0	0
65	65	3.5	1	3	0.1	0.5	30	300	3	0.9	0	0
66	66	4.5	1	5	0.1	0.5	10	100	3	0.9	0	0
67	67	3	1	1	0.1	0.5	60	600	3	0.3	0	0
68	68	4	1	3	0.1	0.5	30	300	3	0.3	0	0
69	69	5	1	5	0.1	0.5	10	100	3	0.3	0	0
70	70	3	1	1	0.1	0.5	60	600	3	0.9	0	0
71	71	4	1	3	0.1	0.5	30	300	3	0.9	0	0
72	72	5	1	5	0.1	0.5	10	100	3	0.9	0	0
