LID 	 PID 	 TYPE 	 AREA 	 AREA_CSD 	 AREA_LSD 	 PERIM 	 PERIM_CSD 	 PERIM_CPS 	 PERIM_LSD 	 GYRATE 	 PARA 	 SHAPE
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	1	 grassland 	43.11	3.209	0.9853	8120	2.0433	96.875	1.9491	395.7357	188.3554	3.0758
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	2	 forest 	0.51	-0.2256	-0.1781	520	-0.2775	60	-0.2152	48.3082	1019.6078	1.7333
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	3	 forest 	0.06	-0.2387	-0.1904	100	-0.43	14.2857	-0.3348	9.1202	1666.6667	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	4	 forest 	206.1	5.7559	5.4368	13040	4.2678	100	3.3502	584.4091	63.2703	2.2639
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	5	 grassland 	3.42	-0.1069	-0.0986	780	-0.2425	62.5	-0.1411	73.1942	228.0702	1.0541
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	6	 arable 	0.2	-0.4725	-0.1866	220	-0.4997	33.3333	-0.3006	18.45	1100	1.2222
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	7	 arable 	355.42	2.4417	9.5148	31420	2.4354	100	8.5843	1065.1568	88.4025	4.1561
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	8	 grassland 	0.18	-0.3775	-0.1871	260	-0.4045	40.625	-0.2892	25.203	1444.4444	1.4444
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	9	 urban 	4.57	1.7192	-0.0672	1020	0.2802	75	-0.0728	88.7106	223.1947	1.186
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	10	 grassland 	1.53	-0.2648	-0.1502	920	-0.1989	65.625	-0.1013	75.7144	601.3072	1.84
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	11	 urban 	1.02	-0.3575	-0.1642	640	-0.235	62.5	-0.181	44.2023	627.451	1.5238
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	12	 forest 	0.82	-0.2166	-0.1696	500	-0.2848	57.1429	-0.2209	37.7753	609.7561	1.3158
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	13	 grassland 	0.06	-0.3876	-0.1904	120	-0.4481	12.5	-0.3291	9.937	2000	1.2
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	14	 forest 	1.09	-0.2087	-0.1623	820	-0.1686	74.2857	-0.1298	56.6738	752.2936	1.9524
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	15	 water 	0.23	-0.7578	-0.1857	200	-0.9418	0	-0.3063	18.1753	869.5652	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	16	 forest 	0.01	-0.2402	-0.1918	40	-0.4518	0	-0.3519	5	4000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	17	 grassland 	0.37	-0.3617	-0.1819	500	-0.3297	56.25	-0.2209	41.0391	1351.3514	1.9231
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	18	 urban 	0.11	-0.8898	-0.189	180	-0.8588	12.5	-0.312	13.9819	1636.3636	1.2857
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	19	 grassland 	0.13	-0.3817	-0.1885	200	-0.4232	31.25	-0.3063	16.4761	1538.4615	1.25
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	20	 forest 	0.79	-0.2175	-0.1705	860	-0.1541	77.1429	-0.1184	61.6414	1088.6076	2.3889
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	21	 urban 	0.02	-0.9424	-0.1915	60	-1.0215	0	-0.3462	5	3000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	22	 grassland 	0.06	-0.3876	-0.1904	140	-0.4418	18.75	-0.3234	13.7962	2333.3333	1.4
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	23	 water 	1.24	0.1157	-0.1582	540	0.0788	73.3333	-0.2095	45.2774	435.4839	1.1739
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	24	 grassland 	0.37	-0.3617	-0.1819	460	-0.3422	53.125	-0.2323	32.8933	1243.2432	1.7692
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	25	 grassland 	1.55	-0.2631	-0.1497	960	-0.1865	68.75	-0.0899	54.5549	619.3548	1.92
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	26	 forest 	1.07	-0.2093	-0.1628	1120	-0.0597	82.8571	-0.0443	96.177	1046.729	2.6667
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	27	 water 	0.34	-0.6626	-0.1827	300	-0.6416	26.6667	-0.2778	24.0406	882.3529	1.25
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	28	 forest 	0.46	-0.2271	-0.1795	380	-0.3284	40	-0.2551	28.5667	826.087	1.3571
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	29	 grassland 	13.18	0.7085	0.1679	2520	0.2993	87.5	0.3544	156.7561	191.1988	1.726
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	30	 urban 	1.18	-0.2639	-0.1598	520	-0.3978	37.5	-0.2152	43.2198	440.678	1.1818
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	31	 grassland 	1.87	-0.2364	-0.141	960	-0.1865	68.75	-0.0899	58.9922	513.369	1.7143
