LID 	 PID 	 TYPE 	 AREA 	 AREA_CSD 	 AREA_LSD 	 PERIM 	 PERIM_CSD 	 PERIM_CPS 	 PERIM_LSD 	 GYRATE 	 PARA 	 SHAPE
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150 Beispiel\Agroscapelab_20m_150x150_gerastert.asc 	1	 grassland 	43.6	4.48	1.2144	7680	3.1644	98.2143	2.3074	396.9377	176.1468	2.8657
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150 Beispiel\Agroscapelab_20m_150x150_gerastert.asc 	5	 grassland 	3.6	0.095	-0.0423	800	-0.0293	78.5714	-0.0197	74.4368	222.2222	1.0526
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150 Beispiel\Agroscapelab_20m_150x150_gerastert.asc 	8	 grassland 	0.12	-0.2865	-0.1516	160	-0.3264	44.6429	-0.2362	12.8979	1333.3333	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150 Beispiel\Agroscapelab_20m_150x150_gerastert.asc 	10	 grassland 	1.64	-0.1199	-0.1038	880	0.0078	82.1429	0.0074	77.9927	536.5854	1.6923
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150 Beispiel\Agroscapelab_20m_150x150_gerastert.asc 	11	 grassland 	0.08	-0.2909	-0.1528	120	-0.345	28.5714	-0.2497	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150 Beispiel\Agroscapelab_20m_150x150_gerastert.asc 	14	 grassland 	0.08	-0.2909	-0.1528	120	-0.345	28.5714	-0.2497	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150 Beispiel\Agroscapelab_20m_150x150_gerastert.asc 	15	 grassland 	0.04	-0.2953	-0.1541	80	-0.3635	0	-0.2632	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150 Beispiel\Agroscapelab_20m_150x150_gerastert.asc 	18	 grassland 	0.4	-0.2558	-0.1428	440	-0.1964	66.0714	-0.1415	39.2175	1100	1.5714
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150 Beispiel\Agroscapelab_20m_150x150_gerastert.asc 	20	 grassland 	0.04	-0.2953	-0.1541	80	-0.3635	0	-0.2632	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150 Beispiel\Agroscapelab_20m_150x150_gerastert.asc 	22	 grassland 	0.04	-0.2953	-0.1541	80	-0.3635	0	-0.2632	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150 Beispiel\Agroscapelab_20m_150x150_gerastert.asc 	23	 grassland 	0.04	-0.2953	-0.1541	80	-0.3635	0	-0.2632	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150 Beispiel\Agroscapelab_20m_150x150_gerastert.asc 	25	 grassland 	0.04	-0.2953	-0.1541	80	-0.3635	0	-0.2632	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150 Beispiel\Agroscapelab_20m_150x150_gerastert.asc 	27	 grassland 	0.12	-0.2865	-0.1516	160	-0.3264	44.6429	-0.2362	13.3333	1333.3333	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150 Beispiel\Agroscapelab_20m_150x150_gerastert.asc 	29	 grassland 	0.32	-0.2646	-0.1453	320	-0.2521	58.9286	-0.1821	25.8699	1000	1.3333
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150 Beispiel\Agroscapelab_20m_150x150_gerastert.asc 	31	 grassland 	1.56	-0.1286	-0.1063	960	0.045	83.9286	0.0344	54.6894	615.3846	1.8462
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150 Beispiel\Agroscapelab_20m_150x150_gerastert.asc 	38	 grassland 	13.08	1.1342	0.2556	2480	0.7505	94.6429	0.5485	156.8761	189.6024	1.6757
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150 Beispiel\Agroscapelab_20m_150x150_gerastert.asc 	39	 grassland 	1.92	-0.0892	-0.095	800	-0.0293	78.5714	-0.0197	57.2226	416.6667	1.4286
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150 Beispiel\Agroscapelab_20m_150x150_gerastert.asc 	44	 grassland 	0.04	-0.2953	-0.1541	80	-0.3635	0	-0.2632	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150 Beispiel\Agroscapelab_20m_150x150_gerastert.asc 	52	 grassland 	0.24	-0.2733	-0.1478	200	-0.3078	48.2143	-0.2226	18.2405	833.3333	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150 Beispiel\Agroscapelab_20m_150x150_gerastert.asc 	55	 grassland 	1.2	-0.1681	-0.1177	720	-0.0665	75	-0.0468	55.1339	600	1.6364
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150 Beispiel\Agroscapelab_20m_150x150_gerastert.asc 	56	 grassland 	54.24	5.6464	1.5487	14560	6.358	100	4.6344	426.81	268.4366	4.9189
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150 Beispiel\Agroscapelab_20m_150x150_gerastert.asc 	61	 grassland 	5.32	0.2836	0.0118	2800	0.8991	96.4286	0.6568	138.9313	526.3158	2.9167
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150 Beispiel\Agroscapelab_20m_150x150_gerastert.asc 	62	 grassland 	4.68	0.2134	-0.0083	2280	0.6577	92.8571	0.4809	136.6269	487.1795	2.5909
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150 Beispiel\Agroscapelab_20m_150x150_gerastert.asc 	65	 grassland 	0.32	-0.2646	-0.1453	280	-0.2707	53.5714	-0.1956	24.2895	875	1.1667
