LID	PID	TYPE	AREA	AREA_CSD	AREA_LSD	PERIM	PERIM_CSD	PERIM_CPS	PERIM_LSD	GYRATE	PARA	SHAPE
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	1	urban	0.08	-0.5438	-0.1463	120	-0.5345	22.2222	-0.2064	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	3	urban	9.76	3.0799	0.261	4560	3.4072	100	1.5125	160.9971	467.2131	3.5625
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	5	urban	0.28	-0.4689	-0.1379	320	-0.357	61.1111	-0.129	25.2023	1142.8571	1.3333
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	17	urban	1.88	0.13	-0.0706	1200	0.4243	77.7778	0.2117	70.6035	638.2979	2.1429
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	32	urban	0.04	-0.5588	-0.148	80	-0.57	0	-0.2219	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	35	urban	0.12	-0.5288	-0.1446	160	-0.499	27.7778	-0.1909	13.3333	1333.3333	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	39	urban	5.04	1.313	0.0624	1360	0.5663	88.8889	0.2737	96.5204	269.8413	1.4783
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	68	urban	0.8	-0.2743	-0.116	440	-0.2504	72.2222	-0.0825	34.5738	550	1.2222
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	79	urban	0.04	-0.5588	-0.148	80	-0.57	0	-0.2219	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	84	urban	0.12	-0.5288	-0.1446	160	-0.499	27.7778	-0.1909	13.3333	1333.3333	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	87	urban	6.76	1.9569	0.1347	2800	1.8447	94.4444	0.8312	152.3873	414.2012	2.6923
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	91	urban	0.12	-0.5288	-0.1446	160	-0.499	27.7778	-0.1909	12.8979	1333.3333	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	96	urban	0.12	-0.5288	-0.1446	160	-0.499	27.7778	-0.1909	13.3333	1333.3333	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	157	urban	0.44	-0.409	-0.1312	360	-0.3215	66.6667	-0.1135	29.2672	818.1818	1.2857
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	164	urban	0.28	-0.4689	-0.1379	240	-0.428	55.5556	-0.1599	20.5515	857.1429	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	188	urban	0.04	-0.5588	-0.148	80	-0.57	0	-0.2219	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	221	urban	3.04	0.5643	-0.0218	1200	0.4243	77.7778	0.2117	72.521	394.7368	1.6667
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	223	urban	0.04	-0.5588	-0.148	80	-0.57	0	-0.2219	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	245	urban	0.12	-0.5288	-0.1446	160	-0.499	27.7778	-0.1909	12.8979	1333.3333	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	2	grassland	0.36	-0.1959	-0.1345	280	-0.1984	58.6207	-0.1445	23.1781	777.7778	1.1667
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	6	grassland	274.08	5.3789	11.3817	36960	5.3658	100	14.0562	1055.7826	134.8511	5.5663
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	10	grassland	0.4	-0.1951	-0.1328	320	-0.1924	65.5172	-0.129	26.1395	800	1.1429
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	16	grassland	11.36	0.0281	0.3283	2520	0.1414	96.5517	0.7228	146.7396	221.831	1.8529
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	18	grassland	7.6	-0.0484	0.1701	2280	0.105	93.1034	0.6298	126.2459	300	2.0357
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	23	grassland	0.04	-0.2024	-0.148	80	-0.2288	0	-0.2219	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	25	grassland	0.04	-0.2024	-0.148	80	-0.2288	0	-0.2219	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	26	grassland	0.04	-0.2024	-0.148	80	-0.2288	0	-0.2219	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	36	grassland	0.12	-0.2008	-0.1446	160	-0.2166	34.4828	-0.1909	12.8979	1333.3333	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	44	grassland	0.24	-0.1983	-0.1396	240	-0.2045	51.7241	-0.1599	21.0904	1000	1.2
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	47	grassland	0.44	-0.1943	-0.1312	320	-0.1924	65.5172	-0.129	25.963	727.2727	1.1429
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	48	grassland	0.04	-0.2024	-0.148	80	-0.2288	0	-0.2219	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	54	grassland	0.44	-0.1943	-0.1312	440	-0.1741	82.7586	-0.0825	39.9445	1000	1.5714
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	63	grassland	0.04	-0.2024	-0.148	80	-0.2288	0	-0.2219	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	70	grassland	0.08	-0.2016	-0.1463	120	-0.2227	24.1379	-0.2064	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	75	grassland	0.44	-0.1943	-0.1312	360	-0.1863	75.8621	-0.1135	29.1536	818.1818	1.2857
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	105	grassland	0.88	-0.1853	-0.1126	480	-0.1681	86.2069	-0.067	37.3817	545.4545	1.2
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	127	grassland	0.72	-0.1886	-0.1194	520	-0.162	89.6552	-0.0515	39.6607	722.2222	1.4444
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	132	grassland	0.12	-0.2008	-0.1446	160	-0.2166	34.4828	-0.1909	13.3333	1333.3333	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	136	grassland	0.48	-0.1935	-0.1295	360	-0.1863	75.8621	-0.1135	28.4616	750	1.2857
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	144	grassland	0.32	-0.1967	-0.1362	280	-0.1984	58.6207	-0.1445	23.9353	875	1.1667
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	154	grassland	0.08	-0.2016	-0.1463	120	-0.2227	24.1379	-0.2064	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	167	grassland	0.12	-0.2008	-0.1446	160	-0.2166	34.4828	-0.1909	12.8979	1333.3333	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	169	grassland	0.2	-0.1992	-0.1413	240	-0.2045	51.7241	-0.1599	19.4007	1200	1.2
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	174	grassland	0.12	-0.2008	-0.1446	160	-0.2166	34.4828	-0.1909	12.8979	1333.3333	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	184	grassland	0.04	-0.2024	-0.148	80	-0.2288	0	-0.2219	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	213	grassland	0.12	-0.2008	-0.1446	160	-0.2166	34.4828	-0.1909	13.3333	1333.3333	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	231	grassland	0.04	-0.2024	-0.148	80	-0.2288	0	-0.2219	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	238	grassland	0.08	-0.2016	-0.1463	120	-0.2227	24.1379	-0.2064	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	253	grassland	0.28	-0.1975	-0.1379	320	-0.1924	65.5172	-0.129	29.8613	1142.8571	1.3333
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	4	bare	0.68	0.0358	-0.1211	560	0.4657	86.7257	-0.0361	40.9838	823.5294	1.5556
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	7	bare	0.24	-0.2654	-0.1396	240	-0.1979	61.0619	-0.1599	21.0904	1000	1.2
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	11	bare	0.56	-0.0463	-0.1261	400	0.1339	76.9912	-0.098	31.0732	714.2857	1.25
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	12	bare	6.16	3.7864	0.1095	2040	3.5352	98.2301	0.5369	139.4393	331.1688	2.04
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	19	bare	0.04	-0.4023	-0.148	80	-0.5298	0	-0.2219	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	21	bare	1.56	0.6381	-0.084	640	0.6316	88.4956	-0.0051	51.8859	410.2564	1.2308
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	22	bare	0.24	-0.2654	-0.1396	200	-0.2809	54.8673	-0.1754	18.2405	833.3333	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	27	bare	0.04	-0.4023	-0.148	80	-0.5298	0	-0.2219	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	28	bare	0.44	-0.1285	-0.1312	320	-0.032	69.0265	-0.129	26.5599	727.2727	1.1429
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	29	bare	0.32	-0.2106	-0.1362	360	0.0509	73.4513	-0.1135	29.9094	1125	1.5
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	31	bare	0.16	-0.3201	-0.1429	160	-0.3638	50.4425	-0.1909	14.1421	1000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	33	bare	0.28	-0.238	-0.1379	240	-0.1979	61.0619	-0.1599	20.5515	857.1429	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	38	bare	0.2	-0.2927	-0.1413	240	-0.1979	61.0619	-0.1599	21.8929	1200	1.2
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	41	bare	0.08	-0.3749	-0.1463	120	-0.4468	43.3628	-0.2064	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	43	bare	0.36	-0.1832	-0.1345	320	-0.032	69.0265	-0.129	26.2197	888.8889	1.3333
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	46	bare	4.2	2.445	0.027	1560	2.5397	96.4602	0.3511	87.3921	371.4286	1.8571
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	49	bare	0.2	-0.2927	-0.1413	200	-0.2809	54.8673	-0.1754	16.9862	1000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	53	bare	0.04	-0.4023	-0.148	80	-0.5298	0	-0.2219	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	55	bare	2.28	1.1309	-0.0537	1120	1.6271	92.9204	0.1808	90.3285	491.2281	1.75
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	56	bare	0.04	-0.4023	-0.148	80	-0.5298	0	-0.2219	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1c.asc	61	bare	0.2	-0.2927	-0.1413	200	-0.2809	54.8673	-0.1754	16.9862	1000	1
