Year	x	y	LU_ID	FT_ID	popsize	
0	0	3	4	13	5
0	0	3	4	26	4
0	0	3	4	27	19
0	0	4	4	11	16
0	0	4	4	12	105
0	0	4	4	28	0
0	0	5	4	28	2
0	0	6	4	25	4
0	0	7	0	27	100
0	0	7	0	8	0
0	0	7	0	22	1
0	0	7	0	21	1
0	0	7	0	17	2
0	0	7	0	11	1
0	0	8	0	25	4
0	0	8	0	21	0
0	0	8	0	11	0
0	0	8	0	14	0
0	0	8	0	1	0
0	0	8	0	13	0
0	0	9	4	10	191
0	0	9	4	2	26
0	0	9	4	26	148
0	0	10	4	6	0
0	0	10	4	28	0
0	0	11	4	25	109
0	0	11	4	3	154
0	0	11	4	6	115
0	0	11	4	23	1
0	0	12	4	10	6
0	0	12	4	14	17
0	0	13	4	4	98
0	0	14	3	1	6
0	0	14	3	17	1
0	0	16	3	23	38
0	0	17	3	22	13
0	0	19	3	21	11
0	0	20	3	15	15
0	0	20	3	23	102
0	0	20	3	3	25
0	0	21	3	28	46
0	0	22	0	14	15
0	0	22	0	23	0
0	0	22	0	28	0
0	0	22	0	8	0
0	0	22	0	9	0
0	0	22	0	21	0
0	0	22	0	22	0
0	0	22	0	16	0
0	0	22	0	10	0
0	0	22	0	6	0
0	0	23	0	21	0
0	0	23	0	17	0
0	0	23	0	20	0
0	0	23	0	7	0
0	0	23	0	11	0
0	0	24	0	6	0
0	0	24	0	8	0
0	0	24	0	14	1
0	0	24	0	16	1
0	0	24	0	21	1
0	0	24	0	20	1
0	0	24	0	2	1
0	0	24	0	7	1
0	0	25	0	14	142
0	0	25	0	20	1
0	0	25	0	15	1
0	0	25	0	17	1
0	0	26	3	17	6
0	0	26	3	8	20
0	0	27	3	14	2
0	0	27	3	26	0
0	0	27	3	28	0
0	0	28	3	28	0
0	0	28	3	27	0
0	0	29	3	18	141
0	0	29	3	28	0
0	0	29	3	24	0
0	0	30	3	17	15
0	0	31	3	28	0
0	0	32	3	28	0
0	0	33	3	26	41
0	0	33	3	28	351
0	0	33	3	5	7
0	0	33	3	27	0
0	0	34	3	13	12
0	0	34	3	24	41
