Year	x	y	LU_ID	FT_ID	popsize	
0	0	0	4	24	176
0	0	3	4	10	6
0	0	3	4	28	0
0	0	4	4	11	23
0	0	4	4	26	12
0	0	6	4	23	0
0	0	7	0	17	74
0	0	7	0	22	148
0	0	7	0	28	0
0	0	7	0	6	38
0	0	7	0	27	3
0	0	7	0	10	1
0	0	7	0	25	1
0	0	7	0	1	1
0	0	7	0	26	1
0	0	7	0	16	1
0	0	7	0	20	1
0	0	7	0	14	1
0	0	7	0	15	1
0	0	7	0	2	1
0	0	8	0	25	13
0	0	8	0	26	5
0	0	8	0	4	13
0	0	8	0	22	0
0	0	8	0	10	0
0	0	8	0	16	0
0	0	9	4	8	0
0	0	10	4	26	17
0	0	11	4	23	0
0	0	12	4	10	111
0	0	12	4	27	177
0	0	12	4	4	76
0	0	13	4	6	0
0	0	13	4	23	2
0	0	14	3	9	0
0	0	16	3	13	22
0	0	17	3	26	35
0	0	18	3	16	20
0	0	19	3	10	23
0	0	20	3	13	20
0	0	21	3	16	5
0	0	21	3	8	19
0	0	21	3	23	0
0	0	22	0	24	2
0	0	22	0	22	1
0	0	22	0	10	1
0	0	22	0	26	1
0	0	22	0	15	1
0	0	22	0	16	3
0	0	22	0	20	2
0	0	22	0	14	1
0	0	22	0	13	1
0	0	23	0	24	22
0	0	23	0	26	30
0	0	23	0	7	18
0	0	23	0	11	0
0	0	23	0	22	0
0	0	23	0	25	0
0	0	23	0	20	0
0	0	23	0	14	0
0	0	23	0	16	0
0	0	24	0	5	0
0	0	24	0	24	0
0	0	24	0	22	0
0	0	24	0	10	0
0	0	24	0	17	0
0	0	24	0	14	0
0	0	24	0	27	0
0	0	24	0	20	0
0	0	24	0	15	0
0	0	24	0	7	0
0	0	24	0	13	0
0	0	25	0	1	110
0	0	25	0	21	369
0	0	25	0	22	1
0	0	25	0	26	1
0	0	25	0	25	1
0	0	25	0	20	2
0	0	25	0	10	1
0	0	25	0	17	1
0	0	25	0	7	1
0	0	26	3	24	21
0	0	26	3	28	0
0	0	27	3	17	6
0	0	27	3	24	28
0	0	28	3	24	1
0	0	28	3	8	1
0	0	29	3	16	20
0	0	29	3	21	0
0	0	29	3	26	0
0	0	30	3	11	41
0	0	30	3	14	0
0	0	30	3	28	0
0	0	30	3	21	0
0	0	31	3	18	230
0	0	31	3	2	11
0	0	31	3	21	0
0	0	31	3	28	1
0	0	32	3	19	118
0	0	32	3	28	0
0	0	32	3	22	0
