LID	PID	TYPE	AREA	AREA_CSD	AREA_LSD	PERIM	PERIM_CSD	PERIM_CPS	PERIM_LSD	GYRATE	PARA	SHAPE
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2j.asc	1	forest	551.8	4.4687	12.3615	20880	4.4213	100	10.0083	981.551	37.8398	2.2213
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2j.asc	19	forest	0.04	-0.2354	-0.124	80	-0.2987	0	-0.2717	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2j.asc	20	forest	0.04	-0.2354	-0.124	80	-0.2987	0	-0.2717	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2j.asc	24	forest	22	-0.0482	0.3729	3160	0.4003	95	1.2505	191.5323	143.6364	1.6809
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2j.asc	34	forest	0.2	-0.234	-0.1204	200	-0.2714	35	-0.2124	16.9862	1000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2j.asc	43	forest	0.2	-0.234	-0.1204	200	-0.2714	35	-0.2124	16.9862	1000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2j.asc	45	forest	0.24	-0.2337	-0.1195	240	-0.2624	50	-0.1926	19.969	1000	1.2
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2j.asc	60	forest	0.76	-0.2293	-0.1077	480	-0.2079	80	-0.074	35.2752	631.5789	1.3333
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2j.asc	77	forest	0.12	-0.2347	-0.1222	160	-0.2805	30	-0.2321	13.3333	1333.3333	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2j.asc	78	forest	0.04	-0.2354	-0.124	80	-0.2987	0	-0.2717	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2j.asc	81	forest	0.04	-0.2354	-0.124	80	-0.2987	0	-0.2717	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2j.asc	84	forest	0.32	-0.233	-0.1177	240	-0.2624	50	-0.1926	20.8459	750	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2j.asc	96	forest	2.28	-0.2163	-0.0733	1200	-0.0445	90	0.2819	72.7648	526.3158	1.875
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2j.asc	100	forest	1.12	-0.2262	-0.0996	680	-0.1625	85	0.0249	47.812	607.1429	1.5455
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2j.asc	118	forest	0.16	-0.2344	-0.1213	200	-0.2714	35	-0.2124	16.1803	1250	1.25
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2j.asc	123	forest	0.24	-0.2337	-0.1195	240	-0.2624	50	-0.1926	18.2364	1000	1.2
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2j.asc	153	forest	0.28	-0.2334	-0.1186	240	-0.2624	50	-0.1926	21.2313	857.1429	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2j.asc	154	forest	0.36	-0.2327	-0.1168	320	-0.2442	70	-0.1531	26.0964	888.8889	1.3333
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2j.asc	160	forest	0.04	-0.2354	-0.124	80	-0.2987	0	-0.2717	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2j.asc	161	forest	0.08	-0.2351	-0.1231	120	-0.2896	25	-0.2519	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2j.asc	163	forest	0.32	-0.233	-0.1177	360	-0.2351	75	-0.1333	40	1125	1.5
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2j.asc	2	water	8.32	0.695	0.0633	1840	1.5925	90.4762	0.5982	149.2553	221.1538	1.5862
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2j.asc	5	water	0.12	-0.3303	-0.1222	160	-0.4771	33.3333	-0.2321	12.8979	1333.3333	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2j.asc	7	water	0.24	-0.3153	-0.1195	240	-0.3785	52.381	-0.1926	18.2364	1000	1.2
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2j.asc	9	water	0.72	-0.2553	-0.1087	560	0.0157	80.9524	-0.0344	40.1629	777.7778	1.5556
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2j.asc	11	water	8.76	0.7501	0.0733	2440	2.3316	95.2381	0.8947	156.1504	278.5388	2.0333
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2j.asc	12	water	0.08	-0.3354	-0.1231	120	-0.5263	9.5238	-0.2519	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2j.asc	30	water	0.24	-0.3153	-0.1195	240	-0.3785	52.381	-0.1926	19.553	1000	1.2
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2j.asc	37	water	0.32	-0.3053	-0.1177	240	-0.3785	52.381	-0.1926	22.8825	750	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2j.asc	49	water	0.08	-0.3354	-0.1231	120	-0.5263	9.5238	-0.2519	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2j.asc	83	water	2.16	-0.0753	-0.0761	840	0.3606	85.7143	0.1039	57.9367	388.8889	1.4
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2j.asc	98	water	0.2	-0.3203	-0.1204	200	-0.4278	42.8571	-0.2124	16.9862	1000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2j.asc	103	water	0.48	-0.2853	-0.1141	440	-0.1321	76.1905	-0.0938	35.3016	916.6667	1.5714
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2j.asc	105	water	0.04	-0.3404	-0.124	80	-0.5756	0	-0.2717	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2j.asc	106	water	0.04	-0.3404	-0.124	80	-0.5756	0	-0.2717	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2j.asc	121	water	0.2	-0.3203	-0.1204	200	-0.4278	42.8571	-0.2124	16.9862	1000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2j.asc	130	water	0.36	-0.3003	-0.1168	320	-0.28	71.4286	-0.1531	25.1395	888.8889	1.3333
