LID	PID	TYPE	AREA	AREA_CSD	AREA_LSD	PERIM	PERIM_CSD	PERIM_CPS	PERIM_LSD	GYRATE	PARA	SHAPE
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2h.asc	1	arable	4.76	-0.6148	0.0751	1320	-0.5725	50	0.4739	91.7638	277.3109	1.5
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2h.asc	4	arable	0.24	-0.6514	-0.1059	240	-0.7055	12.5	-0.1363	21.0904	1000	1.2
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2h.asc	5	arable	236.44	1.2606	9.3509	20760	1.8214	100	11.4574	677.8779	87.8024	3.3701
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2h.asc	12	arable	0.56	-0.6488	-0.0931	400	-0.6857	25	-0.0459	30.985	714.2857	1.25
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2h.asc	16	arable	104.36	0.1915	4.0628	7840	0.2304	75	4.1577	473.0586	75.1246	1.9029
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2h.asc	53	arable	358.8	2.2511	14.2498	20360	1.7721	87.5	11.2314	782.6346	56.7447	2.6789
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2h.asc	204	arable	0.76	-0.6472	-0.0851	480	-0.6759	37.5	-0.0007	40.0428	631.5789	1.3333
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2h.asc	224	arable	20.4	-0.4882	0.7013	2240	-0.4592	62.5	0.9937	181.0533	109.8039	1.2174
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2h.asc	227	arable	0.04	-0.653	-0.1139	80	-0.7252	0	-0.2267	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2h.asc	2	bare	0.08	-0.1961	-0.1123	120	-0.1891	64.4068	-0.2041	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2h.asc	7	bare	0.36	0.2112	-0.1011	280	0.1483	85.8757	-0.1137	24.7722	777.7778	1.1667
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2h.asc	9	bare	0.36	0.2112	-0.1011	360	0.317	91.5254	-0.0685	28.578	1000	1.5
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2h.asc	17	bare	0.04	-0.2543	-0.1139	80	-0.2734	0	-0.2267	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2h.asc	18	bare	0.24	0.0366	-0.1059	240	0.064	84.1808	-0.1363	18.2364	1000	1.2
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2h.asc	19	bare	0.08	-0.1961	-0.1123	120	-0.1891	64.4068	-0.2041	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2h.asc	21	bare	0.04	-0.2543	-0.1139	80	-0.2734	0	-0.2267	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2h.asc	24	bare	0.04	-0.2543	-0.1139	80	-0.2734	0	-0.2267	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2h.asc	25	bare	3.32	4.5167	0.0174	2600	5.0403	99.435	1.1971	230.0152	783.1325	3.4211
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2h.asc	26	bare	0.04	-0.2543	-0.1139	80	-0.2734	0	-0.2267	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2h.asc	27	bare	0.4	0.2693	-0.0995	280	0.1483	85.8757	-0.1137	27.4367	700	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2h.asc	28	bare	0.04	-0.2543	-0.1139	80	-0.2734	0	-0.2267	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2h.asc	33	bare	0.08	-0.1961	-0.1123	120	-0.1891	64.4068	-0.2041	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2h.asc	35	bare	0.2	-0.0216	-0.1075	240	0.064	84.1808	-0.1363	24	1200	1.2
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2h.asc	36	bare	1.88	2.4221	-0.0402	1040	1.7509	96.6102	0.3157	67.9164	553.1915	1.8571
