LID	PID	TYPE	AREA	AREA_CSD	AREA_LSD	PERIM	PERIM_CSD	PERIM_CPS	PERIM_LSD	GYRATE	PARA	SHAPE
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_3a.asc	1	arable	18.36	-0.4944	0.547	3600	-0.3411	57.1429	1.4245	188.6088	196.0784	2.093
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_3a.asc	3	arable	371.76	1.9701	13.2079	30600	2.2568	100	13.9997	951.4244	82.3112	3.9637
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_3a.asc	8	arable	0.68	-0.6176	-0.0864	400	-0.649	28.5714	-0.0659	33.8778	588.2353	1.1111
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_3a.asc	28	arable	3.36	-0.599	0.0096	1000	-0.5913	42.8571	0.2135	85.7634	297.619	1.3158
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_3a.asc	90	arable	21.04	-0.4757	0.643	3880	-0.3142	71.4286	1.5549	229.8009	184.4106	2.1087
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_3a.asc	110	arable	298.72	1.4607	10.5911	17520	0.9983	85.7143	7.9077	687.0102	58.6502	2.5318
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_3a.asc	166	arable	0.04	-0.6221	-0.1094	80	-0.6798	0	-0.215	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_3a.asc	205	arable	0.04	-0.6221	-0.1094	80	-0.6798	0	-0.215	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_3a.asc	2	bare	0.52	0.4562	-0.0922	560	1.2517	91.3043	0.0086	46.8819	1076.9231	1.75
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_3a.asc	5	bare	0.04	-0.5411	-0.1094	80	-0.6797	0	-0.215	10	2000	1
