LID	PID	TYPE	AREA	AREA_CSD	AREA_LSD	PERIM	PERIM_CSD	PERIM_CPS	PERIM_LSD	GYRATE	PARA	SHAPE
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_6e.asc	1	arable	0.04	-0.503	-0.0791	80	-0.5192	0	-0.1227	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_6e.asc	3	arable	1.48	-0.4985	-0.0533	640	-0.4865	50	0.0612	56.1837	432.4324	1.2308
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_6e.asc	6	arable	795.08	2	14.16	43200	1.9998	100	14.0369	1128.1967	54.3342	3.8298
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_6e.asc	144	arable	2.24	-0.4961	-0.0397	680	-0.4842	75	0.0743	66.1722	303.5714	1.1333
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_6e.asc	197	arable	0.24	-0.5024	-0.0755	240	-0.5099	25	-0.0702	21.0904	1000	1.2
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_6e.asc	2	grassland	7.08	2.6202	0.047	2040	2.7247	96	0.5209	133.1251	288.1356	1.8889
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_6e.asc	4	grassland	1.4	0.0657	-0.0547	800	0.4906	84	0.1137	57.7312	571.4286	1.6667
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_6e.asc	18	grassland	9.72	3.8075	0.0943	2320	3.2292	100	0.6129	144.0265	238.6831	1.8125
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_6e.asc	35	grassland	0.04	-0.5459	-0.0791	80	-0.8066	0	-0.1227	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_6e.asc	46	grassland	0.28	-0.438	-0.0748	280	-0.4463	40	-0.057	22.7054	1000	1.1667
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_6e.asc	54	grassland	0.68	-0.2581	-0.0676	440	-0.158	56	-0.0045	33.5372	647.0588	1.2222
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_6e.asc	58	grassland	0.8	-0.2041	-0.0655	480	-0.0859	60	0.0086	51.6039	600	1.3333
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_6e.asc	61	grassland	0.04	-0.5459	-0.0791	80	-0.8066	0	-0.1227	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_6e.asc	65	grassland	0.08	-0.5279	-0.0784	120	-0.7345	12	-0.1096	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_6e.asc	84	grassland	0.8	-0.2041	-0.0655	400	-0.2301	52	-0.0176	34.8612	500	1.1111
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_6e.asc	87	grassland	0.12	-0.5099	-0.0776	160	-0.6625	20	-0.0964	13.3333	1333.3333	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_6e.asc	88	grassland	1.08	-0.0782	-0.0605	640	0.2023	76	0.0612	50.2753	592.5926	1.4545
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_6e.asc	90	grassland	0.36	-0.402	-0.0733	280	-0.4463	40	-0.057	22.5712	777.7778	1.1667
