LID	PID	TYPE	AREA	AREA_CSD	AREA_LSD	PERIM	PERIM_CSD	PERIM_CPS	PERIM_LSD	GYRATE	PARA	SHAPE
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2c.asc	1	arable	79.44	0.8071	3.5935	8080	1.0421	83.3333	3.412	475.3772	101.712	2.2444
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2c.asc	14	arable	145.76	2.1096	6.7447	11360	1.8728	100	4.9328	650.8741	77.9363	2.3471
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2c.asc	138	arable	7.52	-0.6054	0.1761	1560	-0.6093	50	0.3891	127.2818	207.4468	1.3929
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2c.asc	140	arable	28.2	-0.1992	1.1587	4440	0.1201	66.6667	1.7244	226.372	157.4468	2.0556
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2c.asc	172	arable	5	-0.6548	0.0564	1480	-0.6296	33.3333	0.352	97.3005	296	1.6087
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2c.asc	178	arable	0.08	-0.7515	-0.1774	120	-0.974	0	-0.2786	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2c.asc	209	arable	2.4	-0.7059	-0.0672	720	-0.8221	16.6667	-0.0004	63.353	300	1.125
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2c.asc	2	bare	0.24	-0.1372	-0.1698	280	-0.1655	56.25	-0.2044	30	1166.6667	1.4
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2c.asc	9	bare	1.2	-0.1015	-0.1242	840	0.0366	90.625	0.0552	75.5439	700	1.9091
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_2c.asc	11	bare	0.6	-0.1238	-0.1527	440	-0.1077	78.125	-0.1302	34.7349	733.3333	1.375
