LID	PID	TYPE	AREA	AREA_CSD	AREA_LSD	PERIM	PERIM_CSD	PERIM_CPS	PERIM_LSD	GYRATE	PARA	SHAPE
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1f.asc	1	arable	0.2	-0.6448	-0.1386	240	-0.6441	16.6667	-0.2022	21.8929	1200	1.2
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1f.asc	3	arable	110.76	1.668	2.2133	14120	1.9986	100	5.0736	770.4618	127.4828	3.3302
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1f.asc	35	arable	1.52	-0.6171	-0.1105	560	-0.5832	50	-0.0806	48.7746	368.4211	1.0769
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1f.asc	40	arable	102.28	1.4906	2.0329	9200	1.0619	83.3333	3.2035	455.756	89.9492	2.2549
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1f.asc	72	arable	0.16	-0.6456	-0.1395	200	-0.6517	0	-0.2174	15.1379	1250	1.25
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1f.asc	111	arable	1.64	-0.6146	-0.108	600	-0.5755	66.6667	-0.0654	51.9991	365.8537	1.1538
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1f.asc	127	arable	0.6	-0.6364	-0.1301	440	-0.606	33.3333	-0.1262	33.7094	733.3333	1.375
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1f.asc	2	forest	1.32	-0.2353	-0.1148	560	-0.199	76.4706	-0.0806	44.689	424.2424	1.1667
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1f.asc	4	forest	526.04	4.1231	11.0477	25160	4.1199	100	9.2699	1166.7004	47.8291	2.7348
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1f.asc	45	forest	1.28	-0.2356	-0.1157	680	-0.1779	88.2353	-0.0349	61.9731	531.25	1.4167
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1f.asc	48	forest	1.56	-0.2333	-0.1097	640	-0.1849	82.3529	-0.0502	49.5044	410.2564	1.2308
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1f.asc	50	forest	0.08	-0.2456	-0.1412	120	-0.2762	0	-0.2478	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1f.asc	52	forest	0.08	-0.2456	-0.1412	120	-0.2762	0	-0.2478	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1f.asc	54	forest	1.28	-0.2356	-0.1157	880	-0.1428	94.1176	0.0411	64.7469	687.5	1.8333
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1f.asc	56	forest	0.08	-0.2456	-0.1412	120	-0.2762	0	-0.2478	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1f.asc	57	forest	0.32	-0.2436	-0.1361	360	-0.2341	70.5882	-0.1566	29.2665	1125	1.5
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1f.asc	67	forest	0.12	-0.2453	-0.1403	160	-0.2692	23.5294	-0.2326	12.8979	1333.3333	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1f.asc	75	forest	0.12	-0.2453	-0.1403	160	-0.2692	23.5294	-0.2326	13.3333	1333.3333	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1f.asc	90	forest	0.08	-0.2456	-0.1412	120	-0.2762	0	-0.2478	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1f.asc	97	forest	0.28	-0.2439	-0.1369	320	-0.2411	58.8235	-0.1718	25.7135	1142.8571	1.3333
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1f.asc	109	forest	0.12	-0.2453	-0.1403	160	-0.2692	23.5294	-0.2326	12.8979	1333.3333	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1f.asc	112	forest	0.12	-0.2453	-0.1403	160	-0.2692	23.5294	-0.2326	12.8979	1333.3333	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1f.asc	116	forest	0.32	-0.2436	-0.1361	320	-0.2411	58.8235	-0.1718	25.1597	1000	1.3333
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_1f.asc	123	forest	0.12	-0.2453	-0.1403	160	-0.2692	23.5294	-0.2326	13.3333	1333.3333	1
