LID	PID	TYPE	AREA	AREA_CSD	AREA_LSD	PERIM	PERIM_CSD	PERIM_CPS	PERIM_LSD	GYRATE	PARA	SHAPE
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_5i.asc	1	arable	157.6	1.5885	3.4069	10800	1.3762	100	3.6043	654.2315	68.5279	2.1429
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_5i.asc	6	arable	52.92	-0.2657	1.0557	6720	0.2464	66.6667	2.1542	321.8706	126.9841	2.3014
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_5i.asc	85	arable	59.68	-0.146	1.2075	5080	-0.2077	33.3333	1.5714	393.1346	85.1206	1.6282
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_5i.asc	146	arable	1.48	-1.1768	-0.0998	720	-1.415	0	0.0218	56.2358	486.4865	1.3846
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_5i.asc	2	bare	0.08	-0.1994	-0.1312	120	-0.2378	43.4783	-0.1915	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_5i.asc	4	bare	0.12	-0.1513	-0.1303	160	-0.1195	75	-0.1772	13.3333	1333.3333	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_5i.asc	5	bare	0.16	-0.1031	-0.1294	200	-0.0013	82.6087	-0.163	20	1250	1.25
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_5i.asc	7	bare	0.04	-0.2476	-0.1321	80	-0.356	0	-0.2057	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_5i.asc	12	bare	0.88	0.7641	-0.1132	520	0.9447	92.3913	-0.0493	40.6518	590.9091	1.3
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_5i.asc	14	bare	0.04	-0.2476	-0.1321	80	-0.356	0	-0.2057	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_5i.asc	15	bare	0.04	-0.2476	-0.1321	80	-0.356	0	-0.2057	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_5i.asc	17	bare	0.04	-0.2476	-0.1321	80	-0.356	0	-0.2057	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_5i.asc	19	bare	0.04	-0.2476	-0.1321	80	-0.356	0	-0.2057	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_5i.asc	20	bare	1.56	1.5831	-0.098	840	1.8907	97.8261	0.0644	52.5608	538.4615	1.6154
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_5i.asc	22	bare	0.04	-0.2476	-0.1321	80	-0.356	0	-0.2057	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_5i.asc	23	bare	0.08	-0.1994	-0.1312	120	-0.2378	43.4783	-0.1915	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_5i.asc	25	bare	0.04	-0.2476	-0.1321	80	-0.356	0	-0.2057	10	2000	1
