LID	LPI	TE	AREA_MN	AREA_SD	SHDI	SHEI	PLAND_arable	TE_arable	CONNECT_arable	PLAND_grass	TE_grass	CONNECT_grass	PLAND_forest	TE_forest	CONNECT_forest
1a	27.1067	100500	2.1687	16.476	1.3868	0.774	46.48	38120	10.4762	10.5867	41940	3.2768	28.2844	44800	4.3557
1b	39.1867	50160	6.25	38.6794	1.1491	0.6413	49.9911	18640	0	4.7511	15460	6.6667	36.7244	32800	11.4919
1c	30.4533	76620	3.5573	23.7682	1.4546	0.8118	8.8978	6960	0	33.2622	44240	9.4253	7.4667	29640	3.5693
1d	67.2667	66280	3.4884	37.7962	0.9512	0.5309	74.5956	39480	50	7.52	24840	2.8571	5.5156	26480	4.5135
1e	51.16	75640	3.1915	29.2891	1.2278	0.6852	54.9244	44180	9.5238	12.7422	30420	2.99	23.9422	35300	3.2132
1f	58.4489	45720	6.7164	47.0075	1.1071	0.6179	24.1289	21780	9.5238	10.0533	24120	4.5455	59.2978	23700	7.8431
1g	42.1333	108000	1.8367	18.3548	1.1076	0.6182	66.5467	64720	21.2121	15.8889	58500	2.4138	5.7956	32420	2.4848
1h	45.4	84020	3.1802	26.518	1.2793	0.714	54.1422	42160	26.6667	11.0711	30180	5.2525	9.7778	39140	2.4412
1i	13.8978	108940	2.2959	10.9685	1.4906	0.8319	39.6889	43120	7.2727	24.0311	54700	3.5172	13.0356	55080	2.3136
1j	17.7644	70000	3.3457	18.0068	1.1853	0.6615	55.2978	38060	28.5714	10.7333	30320	4.0959	26.7067	31700	5.8321
1k	47.3111	63380	4.8649	32.6266	1.1343	0.6331	31.3156	33840	15.5556	4.6889	19200	4.878	55.2711	32180	8.2251
2a	79.6444	62020	3.913	47.1925	0.8046	0.4491	79.9778	39560	20	5.0222	20520	3.1818	2.1333	15500	3.8055
2b	88.5956	39980	5.6604	63.0049	0.5256	0.2933	88.5956	29320	0	2.5067	9600	6	1.36	11260	4.4135
2c	24.3289	79060	3.8136	21.0455	1.4506	0.8096	29.8222	21800	14.2857	30.0889	40860	5.4264	6.0622	27120	3.1694
2d	82	60360	3.1142	43.3379	0.7075	0.3948	82.8622	39020	66.6667	6.8667	26580	3.2168	4.4133	19800	3.4286
2e	30.9778	54240	5.6604	29.805	1.2734	0.7107	40.8533	34700	10.7143	8.1644	23700	4.8588	37.1867	30060	11.1111
2f	94.2578	14920	19.1489	122.3202	0.2767	0.1544	3.8133	6260	5.5556	1.1422	5620	6.5934	94.28	12620	50
2g	42.2178	64780	3.2609	27.7486	1.2463	0.6956	50.3156	33980	22.2222	4.1778	25020	2.5128	31.7467	25140	6.8783
2h	39.8667	69080	2.8846	24.9769	0.7992	0.446	80.7067	44940	25	3.8622	20060	3.2323	2.9778	10460	6.5527
2i	54.7289	89100	2.2222	25.3085	1.0307	0.5752	71.5156	57600	40	9.2933	40300	2.3786	7.9067	21140	3.1674
2j	61.3111	45320	5.5215	44.1921	1.0437	0.5825	21.32	23200	19.0476	5.3511	17700	6.1166	64.52	23600	8.0952
2k	59.1644	64400	4.3062	37.1014	1.165	0.6502	11.7867	14840	16.6667	10.2844	26940	5.0265	63.3156	43400	7.8236
3a	41.3067	72800	3.0928	27.9127	0.8041	0.4488	79.3333	48380	28.5714	8.7378	33520	2.8027	1.3333	10300	5.8279
3b	88.3289	50600	2.8846	44.9435	0.5101	0.2847	88.7556	36480	66.6667	3.1067	20200	3.4929	0.08	760	50
3c	48.5289	68820	3.8298	29.35	1.3957	0.779	19.6178	19260	10.9091	17.1511	35080	6.8966	5.1244	24280	4.8485
3d	72.0667	58340	3.9823	43.409	0.8463	0.4724	72.8622	33060	30	16.1778	38880	3.5197	8.6667	24080	6.1562
3e	56.08	62980	3.6	33.8032	0.804	0.4487	80.4044	40220	50	5.7467	21560	4.0531	3.8489	20080	4.8218
3f	47.3911	63580	3.2967	29.4924	0.9971	0.5565	63.84	38160	25	5.1778	28680	4.1802	25.7689	22440	8.3871
3g	69.7689	39360	7.8261	59.1518	0.8273	0.4617	20.4533	20040	7.1429	7.3733	22540	6.6667	70.8844	24700	10.6061
3h	44.9111	77120	2.6471	26.0151	1.1028	0.6155	56.7378	44140	14.2857	6.0089	27720	4.6888	30.7067	40080	6.4368
3i	35.4933	82900	3.5156	23.6971	1.3714	0.7654	39.5867	36840	17.8571	2.7956	14680	4.3478	37.5689	44980	5.042
3j	33.8267	79940	2.8571	20.9147	1.3536	0.7555	53.4844	45060	66.6667	4.92	26300	2.3602	17.2711	24360	7.0076
3k	33.3156	85040	2.7439	23.4193	1.3311	0.7429	36.5733	44740	28.5714	9.4222	39580	2.4515	40.9689	38580	4.1628
4a	65.3689	68340	2.9316	34.3896	0.6979	0.3895	83.2622	53160	40	5.2356	23560	3.0185	0.9467	7540	7.1525
4b	34.8711	81720	2.3196	21.4874	0.7237	0.4039	82.1067	61000	33.3333	5.2711	31040	2.519	0.8222	6760	7.9772
4c	56.64	45640	5.6604	40.9342	1.2464	0.6957	19.7911	16540	19.0476	13.3556	23020	6.5539	2.6711	13140	6.8421
4d	47.5689	63980	4.3062	30.829	1.1673	0.6515	60.0622	36660	50	17.7956	38400	4.153	12.5333	24900	4.2042
4e	34.9689	70480	4.2453	25.1116	1.236	0.6898	22.8711	18240	17.8571	44.2933	49780	6.8908	28.5378	46340	4.4403
4f	56.7467	66080	3.0508	30.5652	0.8526	0.4758	77.4178	34460	19.4444	6.0133	26700	4.1096	7.8489	20440	12.5
4g	53.3867	71460	3.6145	31.5673	0.8993	0.5019	73.1956	47040	30	9.4311	35800	3.0759	12.4444	26940	5.7692
4h	63.6978	34400	6.4286	51.3645	0.9438	0.5267	25.5067	18420	16.6667	7.5822	15940	3.5651	64.2933	16720	15.1515
4i	61.6089	38980	4.7872	44.2291	0.8849	0.4939	32.2133	23420	10.7143	1.9733	9200	7.971	62.08	17920	12.0879
4j	34.9333	72520	3.3088	25.9038	1.3716	0.7655	39.0222	36560	8.8889	10.4044	30500	3.9007	35.7733	30980	11.4286
4k	39.6578	81260	2.9221	22.3551	1.2721	0.71	57.6622	46960	26.6667	17.9644	45700	3.3802	9.8311	25340	3.5412
5a	76.9378	79080	2.356	35.4475	0.8362	0.4667	78.6	50720	25.4545	7.0578	37820	2.604	0.9156	5560	4.6784
5b	69.3467	74860	2.4129	32.4844	0.865	0.4827	76.6711	50820	33.3333	9.3778	35000	2.6035	1.1156	6700	5.4348
5c	44.6889	108300	2.1277	20.3959	1.3947	0.7784	1.5111	4780	2.7778	22.1378	56840	2.3341	2.9511	14400	3.9683
5d	58.5511	82460	2.6316	28.8039	1.0233	0.5711	67.6356	48200	16.6667	17.2844	44920	2.7523	3.5067	16420	4.4974
5e	66.9467	59560	3.75	40.5386	0.9212	0.5141	67.3333	33780	26.6667	24.0711	34400	6.0395	3.5333	17100	4.8387
5f	81.7244	32280	4.6875	53.1013	0.5228	0.2918	88.0489	27500	40	5.8133	9140	5.4945	2.9156	2920	4.7619
5g	55.9556	46280	5.0847	40.42	1.1225	0.6265	57.7556	29280	0	8.2356	16860	5.4187	27.4711	19800	10.8696
5h	78.6444	28880	9.375	73.1351	0.6828	0.3811	16.5822	10820	100	2.4089	15780	3.8431	78.6978	20720	40
5i	58.1556	44060	5.9211	44.5209	1.0368	0.5787	30.1867	18180	33.3333	6.5733	18480	4.1226	58.4622	29100	26.6667
5j	72.3511	79800	2.5937	34.9575	0.9256	0.5166	73.9111	55040	28.5714	9.5689	34240	2.3453	9.64	24200	4.3478
6a	80.6533	66300	3.1802	43.0912	0.7647	0.4268	80.9289	38380	30	6.5644	36740	3.9147	1.1511	8540	4.0541
6b	64.9511	58360	3.4483	37.5701	0.6648	0.371	83.7689	41700	50	4.4444	22740	4.6888	0.4889	3340	6.0606
6c	28.8844	78300	2.7523	17.4263	1.4239	0.7947	29.5511	30340	22.2222	38.2222	52720	2.6497	0.8222	5280	7.5758
6d	61.1689	51820	4.5918	40.8335	0.7367	0.4111	78.1022	34680	66.6667	14.7778	24440	5.8039	0.7733	5560	5.2288
6e	88.3422	39820	4.4554	55.8351	0.4835	0.2699	88.7867	34400	30	3.6222	12960	1.8462	5.5733	12320	3.6765
6f	35.0533	63420	3.9474	28.3919	0.8956	0.4998	68.5511	42820	15.5556	23.2444	34840	7.6613	1.9022	8340	3.3333
6g	58.6578	42700	6.8702	48.6886	0.921	0.514	63.3689	31360	30	3.2089	12360	5.8974	29.6489	20860	14.2857
6h	62.4	81140	2.8662	32.0713	1.0906	0.6087	63.4667	49020	30	7.1689	37900	2.2426	21.6178	29780	4.1872
6i	46.3111	81340	2.9508	24.6357	1.3099	0.7311	53.8178	37500	7.6923	18.6667	44620	3.9423	14.8489	23500	7.6087
6j	82.4667	62140	3.4749	46.0386	0.7156	0.3994	82.4711	48260	100	6.3867	26420	2.7569	2.4533	10240	5.5556
7a	89	45020	4.6632	57.4949	0.4933	0.2753	89.0044	34920	100	1.6178	13460	4.8288	0.6222	4340	10.8696
7b	77.9022	44020	4.8387	51.7344	0.7373	0.4115	79.3067	26560	26.6667	13.28	22660	6.8361	1.48	9860	6.5546
7c	39.3956	50340	5.8824	34.1333	1.272	0.7099	33.7911	21560	19.0476	40.5956	33300	6.5934	0.6578	4640	7.6923
7d	68.3378	52680	4.5	43.558	0.9488	0.5296	73.0356	22160	14.2857	9.7111	25080	3.9245	2.6533	11600	5.9744
7e	72.4578	51260	3.8298	43.3117	0.5477	0.3057	87.5867	36560	100	5.5156	23740	5.3147	1.5689	8400	9.3567
7f	74.9467	54220	3.5433	42.4074	0.6785	0.3787	80.2844	37200	25	13.5956	29480	4.4267	0.0978	920	0
7g	85.6533	48300	5.3254	59.1396	0.5729	0.3197	85.9956	36860	100	7.2	15940	7.6923	0.3867	3080	1.2821
7h	70.8711	60060	3.6885	41.1142	0.8176	0.4563	76.2933	45440	26.6667	12.7911	33340	3.7838	6.6222	11000	14.2857
7i	23.9556	90400	3.0303	16.1382	1.3594	0.7587	44.4756	51380	10.2564	11.0089	37740	2.968	29.3733	45640	2.5718
8a	85.3022	43980	6.9767	67.3521	0.616	0.3438	85.3244	34020	66.6667	5.2889	17260	5.1724	0.7689	3200	9.5238
8b	42.0356	62160	5.2632	34.406	1.0029	0.5597	64.5067	37400	26.6667	23.2933	32820	4.127	2.1956	12460	4.7561
8c	51.9911	23320	7.6271	56.7934	0.8024	0.4478	52.1778	9540	33.3333	45.7733	19860	27.2727	0.3511	2700	11.1111
8d	83.4844	46520	5.8065	60.2875	0.6139	0.3426	84.8756	34620	66.6667	8.52	21080	5.2553	2.36	11080	5.8065
8e	68.0578	72000	2.6316	33.2501	0.9585	0.535	74.3244	46040	66.6667	8.3022	36700	2.4656	4.5111	12120	4.7619
8f	33.5867	50920	4.186	31.3767	0.9838	0.5491	63.5778	35180	30	4.2267	17180	2.3173	26.9733	17300	13.6364
8g	77.2133	66360	2.9801	40.0079	0.7206	0.4022	82.6933	49540	30.5556	5.7289	24520	3.7158	5.1333	10600	6.3158
8h	44.48	84540	2.521	23.2126	1.061	0.5922	63.3067	58480	24.4444	11.1956	38960	3.4608	20.4533	30920	4.8167
8i	27.4178	95780	2.3316	15.85	1.4115	0.7878	46.0356	47560	28.5714	9.2756	42080	2.9622	4.96	30000	2.2852
9a	57.3733	39840	7.1429	50.6405	0.9673	0.5399	62.7244	30620	40	2.5244	18240	4.0719	4.6622	9600	7.1429
9b	40.0533	68680	2.9801	24.2906	0.9819	0.548	65.8844	37320	17.7778	23.4889	44240	4.2077	4.8133	21160	5.0879
9c	58.4844	48580	6.4286	46.3209	0.9032	0.5041	70.4089	30540	16.6667	19.6222	29140	4.6595	4.6667	14740	10.9091
9d	76.1511	64140	2.6012	36.8884	0.6973	0.3892	82.2844	45160	33.3333	8.3867	26300	4.0386	3.9244	16160	4.6253
9e	55.4978	83040	2.459	26.6288	0.965	0.5386	72.0978	46820	25	12.1689	36280	3.169	7.1111	26340	3.9731
9f	33.5289	64060	2.8037	24.7104	0.6848	0.3822	82.8578	46620	50	5.2978	26340	3.1092	6.7778	15980	16.6667
9g	74.6756	64940	2.8754	38.1523	0.8312	0.4639	76.4978	46020	20	9.6756	29900	3.6723	9.3378	14720	5.0265
9h	39.0533	51260	4.3902	28.7665	1.4753	0.8234	25.2533	18960	4.7619	13.9333	26780	8.0214	11.9467	17760	8.7395
10b	36.9244	52280	4.0179	26.4083	1.2303	0.6866	46.0133	25040	7.2727	28.8933	33900	8.1081	2.7778	13600	5.9829
10c	77.3867	58220	3.01	40.3178	0.6948	0.3878	82.9644	39380	0	6.1778	23060	3.125	2.8	11080	5.3333
10d	79.4933	70680	2.4793	37.5621	0.818	0.4565	79.7333	41940	40	5.2356	29180	2.3453	1.8578	14240	5.0528
10e	86.4311	59520	2.6087	41.8128	0.5181	0.2891	88.7156	44540	38.0952	3.7867	22920	2.0475	2.3733	11540	5.6452
10f	76.08	64300	2.3747	35.253	0.7403	0.4132	80.2	42500	66.6667	11.0533	31420	2.2368	2.8622	10360	5.2419
10g	45.4578	63060	2.8754	25.8644	0.9974	0.5566	72.0933	40140	50	7.1156	30100	2.7921	3.2578	12960	3.1621
11c	62.0089	63940	2.5281	30.0161	0.7309	0.4079	81.0844	40920	14.2857	8.6311	35620	2.2339	5.0622	16160	6.3492
11d	76.8978	43780	3.5714	44.2969	0.7292	0.407	76.8978	30120	0	2.84	16460	3.961	0.2844	2260	5.5556
11e	47.5911	44500	3.5714	35.8192	1.0039	0.5603	48.4133	34220	26.6667	1.8311	15000	3.9752	4.5022	9000	13.5081
11f	50.9156	51700	4.3689	34.74	1.2252	0.6838	50.9156	33320	0	6.9867	27500	3.2172	19.9911	22080	13.2353
