LID	PID	TYPE	AREA	AREA_CSD	AREA_LSD	PERIM	PERIM_CSD	PERIM_CPS	PERIM_LSD	GYRATE	PARA	SHAPE
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7a.asc	1	arable	801	1	13.8506	42920	1	100	13.5972	1147.0824	53.583	3.7782
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7a.asc	157	arable	0.04	-1	-0.0804	80	-1	0	-0.1439	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7a.asc	2	bare	0.4	-0.1699	-0.0741	360	-0.0825	67.2414	-0.0541	29.0583	900	1.2857
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7a.asc	4	bare	0.08	-0.3004	-0.0797	120	-0.3607	24.1379	-0.1311	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7a.asc	5	bare	18.04	7.0278	0.2327	6520	7.0576	100	1.9217	729.8255	361.4191	3.7907
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7a.asc	6	bare	0.04	-0.3167	-0.0804	80	-0.4071	0	-0.1439	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7a.asc	9	bare	1.04	0.0913	-0.063	520	0.1029	82.7586	-0.0028	40.2004	500	1.1818
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7a.asc	14	bare	0.64	-0.0719	-0.07	440	0.0102	77.5862	-0.0285	34.0813	687.5	1.375
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7a.asc	24	bare	0.8	-0.0066	-0.0672	520	0.1029	82.7586	-0.0028	43.5265	650	1.4444
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7a.asc	37	bare	0.04	-0.3167	-0.0804	80	-0.4071	0	-0.1439	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7a.asc	38	bare	1.08	0.1076	-0.0623	560	0.1493	86.2069	0.01	42.3608	518.5185	1.2727
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7a.asc	40	bare	1.08	0.1076	-0.0623	480	0.0566	81.0345	-0.0156	40.1826	444.4444	1.0909
