LID	PID	TYPE	AREA	AREA_CSD	AREA_LSD	PERIM	PERIM_CSD	PERIM_CPS	PERIM_LSD	GYRATE	PARA	SHAPE
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_8e.asc	1	arable	612.52	1.7298	18.3424	48480	1.7254	100	17.8483	1080.5805	79.1484	4.8871
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_8e.asc	5	arable	2.72	-0.6391	0.0027	720	-0.6736	0	0.0981	63.895	264.7059	1.0588
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_8e.asc	255	arable	38.92	-0.4984	1.0914	5440	-0.4365	66.6667	1.8523	447.7529	139.7739	2.1587
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_8e.asc	310	arable	14.76	-0.5923	0.3648	1880	-0.6153	33.3333	0.5292	165.0659	127.3713	1.2051
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_8e.asc	2	forest	0.08	-0.5562	-0.0767	120	-0.6356	7.1429	-0.1249	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_8e.asc	10	forest	2.68	-0.0056	0.0015	760	-0.0466	64.2857	0.1129	63.1892	283.5821	1.1176
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_8e.asc	33	forest	0.72	-0.4207	-0.0575	400	-0.3779	42.8571	-0.0209	34.0671	555.5556	1.1111
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_8e.asc	96	forest	0.08	-0.5562	-0.0767	120	-0.6356	7.1429	-0.1249	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_8e.asc	104	forest	0.16	-0.5392	-0.0743	200	-0.562	28.5714	-0.0952	15.1379	1250	1.25
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_8e.asc	106	forest	2.96	0.0536	0.0099	920	0.1006	71.4286	0.1724	74.0182	310.8108	1.2778
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_8e.asc	129	forest	0.08	-0.5562	-0.0767	120	-0.6356	7.1429	-0.1249	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_8e.asc	136	forest	0.4	-0.4884	-0.0671	400	-0.3779	42.8571	-0.0209	34.6206	1000	1.4286
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_8e.asc	145	forest	0.2	-0.5308	-0.0731	200	-0.562	28.5714	-0.0952	16.9862	1000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_8e.asc	154	forest	0.04	-0.5647	-0.0779	80	-0.6724	0	-0.1398	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_8e.asc	155	forest	1.6	-0.2343	-0.031	680	-0.1202	57.1429	0.0832	55.9339	425	1.3077
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_8e.asc	203	forest	18.88	3.4246	0.4887	4520	3.4134	100	1.5104	226.7131	239.4068	2.5682
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_8e.asc	208	forest	7.28	0.9684	0.1398	1720	0.8368	92.8571	0.4697	125.9154	236.2637	1.5926
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_8e.asc	264	forest	3.4	0.1468	0.0231	1000	0.1742	85.7143	0.2021	72.0428	294.1176	1.3158
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_8e.asc	309	forest	2.04	-0.1412	-0.0178	920	0.1006	71.4286	0.1724	71.6174	450.9804	1.5333
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_8e.asc	3	bare	0.04	-0.1968	-0.0779	80	-0.2923	0	-0.1398	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_8e.asc	6	bare	0.04	-0.1968	-0.0779	80	-0.2923	0	-0.1398	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_8e.asc	8	bare	0.08	-0.152	-0.0767	120	-0.1553	64.3312	-0.1249	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_8e.asc	9	bare	0.08	-0.152	-0.0767	120	-0.1553	64.3312	-0.1249	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_8e.asc	11	bare	0.08	-0.152	-0.0767	120	-0.1553	64.3312	-0.1249	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_8e.asc	12	bare	0.08	-0.152	-0.0767	120	-0.1553	64.3312	-0.1249	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_8e.asc	13	bare	0.2	-0.0176	-0.0731	240	0.2559	88.535	-0.0803	24	1200	1.2
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_8e.asc	14	bare	0.04	-0.1968	-0.0779	80	-0.2923	0	-0.1398	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_8e.asc	15	bare	0.08	-0.152	-0.0767	120	-0.1553	64.3312	-0.1249	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_8e.asc	17	bare	0.04	-0.1968	-0.0779	80	-0.2923	0	-0.1398	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_8e.asc	18	bare	0.04	-0.1968	-0.0779	80	-0.2923	0	-0.1398	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_8e.asc	19	bare	0.04	-0.1968	-0.0779	80	-0.2923	0	-0.1398	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_8e.asc	20	bare	0.04	-0.1968	-0.0779	80	-0.2923	0	-0.1398	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_8e.asc	21	bare	0.08	-0.152	-0.0767	120	-0.1553	64.3312	-0.1249	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_8e.asc	22	bare	0.04	-0.1968	-0.0779	80	-0.2923	0	-0.1398	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_8e.asc	23	bare	0.04	-0.1968	-0.0779	80	-0.2923	0	-0.1398	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_8e.asc	25	bare	0.08	-0.152	-0.0767	120	-0.1553	64.3312	-0.1249	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_8e.asc	26	bare	0.04	-0.1968	-0.0779	80	-0.2923	0	-0.1398	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_8e.asc	27	bare	0.04	-0.1968	-0.0779	80	-0.2923	0	-0.1398	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_8e.asc	28	bare	0.04	-0.1968	-0.0779	80	-0.2923	0	-0.1398	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_8e.asc	29	bare	0.04	-0.1968	-0.0779	80	-0.2923	0	-0.1398	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_8e.asc	30	bare	0.72	0.5649	-0.0575	400	0.8042	93.6306	-0.0209	32.7454	555.5556	1.1111
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_8e.asc	31	bare	0.08	-0.152	-0.0767	120	-0.1553	64.3312	-0.1249	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_8e.asc	32	bare	0.04	-0.1968	-0.0779	80	-0.2923	0	-0.1398	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_8e.asc	35	bare	0.12	-0.1072	-0.0755	160	-0.0182	82.1656	-0.1101	13.3333	1333.3333	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_8e.asc	37	bare	0.04	-0.1968	-0.0779	80	-0.2923	0	-0.1398	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_8e.asc	38	bare	2.64	2.7157	0.0003	1160	3.4084	98.7261	0.2616	90.6442	439.3939	1.7059
