LID	PID	TYPE	AREA	AREA_CSD	AREA_LSD	PERIM	PERIM_CSD	PERIM_CPS	PERIM_LSD	GYRATE	PARA	SHAPE
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	1	arable	770.88	1	12.9449	45840	1	100	12.7557	1124.9694	59.4645	4.1223
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	71	arable	3.08	-1	-0.038	1000	-1	0	0.1009	77.9476	324.6753	1.3889
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	2	bare	0.04	-0.4444	-0.0894	80	-0.4866	0	-0.1588	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	4	bare	0.16	-0.2047	-0.0873	200	-0.1226	71.5789	-0.1249	16.1803	1250	1.25
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	7	bare	0.08	-0.3645	-0.0887	120	-0.3653	29.4737	-0.1475	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	9	bare	0.08	-0.3645	-0.0887	120	-0.3653	29.4737	-0.1475	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	10	bare	0.08	-0.3645	-0.0887	120	-0.3653	29.4737	-0.1475	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	12	bare	0.08	-0.3645	-0.0887	120	-0.3653	29.4737	-0.1475	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	14	bare	0.08	-0.3645	-0.0887	120	-0.3653	29.4737	-0.1475	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	15	bare	0.08	-0.3645	-0.0887	120	-0.3653	29.4737	-0.1475	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	16	bare	0.52	0.5143	-0.0813	480	0.7267	90.5263	-0.0459	38.5586	923.0769	1.5
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	17	bare	0.4	0.2746	-0.0833	360	0.3627	82.1053	-0.0798	27.856	900	1.2857
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	20	bare	1.88	3.2307	-0.0583	960	2.1827	95.7895	0.0896	62.3794	510.6383	1.7143
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	22	bare	0.04	-0.4444	-0.0894	80	-0.4866	0	-0.1588	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	24	bare	0.24	-0.0449	-0.086	200	-0.1226	71.5789	-0.1249	18.2405	833.3333	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	25	bare	0.52	0.5143	-0.0813	400	0.4841	85.2632	-0.0685	31.0745	769.2308	1.25
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	26	bare	0.28	0.035	-0.0853	280	0.1201	77.8947	-0.1023	21.2821	1000	1.1667
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	27	bare	0.4	0.2746	-0.0833	360	0.3627	82.1053	-0.0798	25.1482	900	1.2857
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	29	bare	0.48	0.4344	-0.0819	440	0.6054	87.3684	-0.0572	32.2811	916.6667	1.5714
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	32	bare	0.04	-0.4444	-0.0894	80	-0.4866	0	-0.1588	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	33	bare	0.04	-0.4444	-0.0894	80	-0.4866	0	-0.1588	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	34	bare	0.64	0.754	-0.0792	480	0.7267	90.5263	-0.0459	35.6559	750	1.5
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	35	bare	0.12	-0.2846	-0.088	160	-0.2439	63.1579	-0.1362	13.3333	1333.3333	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	38	bare	0.04	-0.4444	-0.0894	80	-0.4866	0	-0.1588	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	39	bare	0.08	-0.3645	-0.0887	120	-0.3653	29.4737	-0.1475	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	41	bare	0.08	-0.3645	-0.0887	120	-0.3653	29.4737	-0.1475	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	42	bare	0.44	0.3545	-0.0826	440	0.6054	87.3684	-0.0572	31.4245	1000	1.5714
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	45	bare	0.08	-0.3645	-0.0887	120	-0.3653	29.4737	-0.1475	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	47	bare	0.72	0.9138	-0.0779	440	0.6054	87.3684	-0.0572	32.1438	611.1111	1.2222
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	50	bare	0.08	-0.3645	-0.0887	120	-0.3653	29.4737	-0.1475	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	51	bare	0.04	-0.4444	-0.0894	80	-0.4866	0	-0.1588	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	54	bare	0.24	-0.0449	-0.086	240	-0.0013	74.7368	-0.1136	19.2542	1000	1.2
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	55	bare	0.04	-0.4444	-0.0894	80	-0.4866	0	-0.1588	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	57	bare	0.12	-0.2846	-0.088	160	-0.2439	63.1579	-0.1362	13.3333	1333.3333	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	58	bare	0.12	-0.2846	-0.088	160	-0.2439	63.1579	-0.1362	12.8979	1333.3333	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	60	bare	3.16	5.7874	-0.0366	1360	3.3961	97.8947	0.2025	78.8232	430.3797	1.8889
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	62	bare	0.08	-0.3645	-0.0887	120	-0.3653	29.4737	-0.1475	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	65	bare	0.04	-0.4444	-0.0894	80	-0.4866	0	-0.1588	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	67	bare	0.08	-0.3645	-0.0887	120	-0.3653	29.4737	-0.1475	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	68	bare	0.04	-0.4444	-0.0894	80	-0.4866	0	-0.1588	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	70	bare	0.04	-0.4444	-0.0894	80	-0.4866	0	-0.1588	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	72	bare	0.08	-0.3645	-0.0887	120	-0.3653	29.4737	-0.1475	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	74	bare	0.08	-0.3645	-0.0887	120	-0.3653	29.4737	-0.1475	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	75	bare	0.72	0.9138	-0.0779	560	0.9694	93.6842	-0.0233	45.3319	777.7778	1.5556
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	76	bare	0.08	-0.3645	-0.0887	120	-0.3653	29.4737	-0.1475	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	77	bare	0.08	-0.3645	-0.0887	120	-0.3653	29.4737	-0.1475	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	78	bare	0.08	-0.3645	-0.0887	120	-0.3653	29.4737	-0.1475	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	81	bare	0.44	0.3545	-0.0826	320	0.2414	81.0526	-0.091	26.4308	727.2727	1.1429
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	82	bare	0.04	-0.4444	-0.0894	80	-0.4866	0	-0.1588	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	83	bare	0.84	1.1535	-0.0758	720	1.4547	94.7368	0.0218	47.5336	857.1429	1.8
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	84	bare	0.24	-0.0449	-0.086	240	-0.0013	74.7368	-0.1136	21.0904	1000	1.2
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	85	bare	0.04	-0.4444	-0.0894	80	-0.4866	0	-0.1588	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	88	bare	0.08	-0.3645	-0.0887	120	-0.3653	29.4737	-0.1475	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	90	bare	0.08	-0.3645	-0.0887	120	-0.3653	29.4737	-0.1475	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	91	bare	0.08	-0.3645	-0.0887	120	-0.3653	29.4737	-0.1475	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	92	bare	0.08	-0.3645	-0.0887	120	-0.3653	29.4737	-0.1475	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	93	bare	0.04	-0.4444	-0.0894	80	-0.4866	0	-0.1588	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	94	bare	0.08	-0.3645	-0.0887	120	-0.3653	29.4737	-0.1475	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	95	bare	2.32	4.1096	-0.0508	1960	5.2161	98.9474	0.3718	178.2834	844.8276	3.0625
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	97	bare	0.08	-0.3645	-0.0887	120	-0.3653	29.4737	-0.1475	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	99	bare	0.04	-0.4444	-0.0894	80	-0.4866	0	-0.1588	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	102	bare	0.04	-0.4444	-0.0894	80	-0.4866	0	-0.1588	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	103	bare	0.04	-0.4444	-0.0894	80	-0.4866	0	-0.1588	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	104	bare	0.08	-0.3645	-0.0887	120	-0.3653	29.4737	-0.1475	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	105	bare	0.08	-0.3645	-0.0887	120	-0.3653	29.4737	-0.1475	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	106	bare	0.08	-0.3645	-0.0887	120	-0.3653	29.4737	-0.1475	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	107	bare	0.08	-0.3645	-0.0887	120	-0.3653	29.4737	-0.1475	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	108	bare	0.28	0.035	-0.0853	240	-0.0013	74.7368	-0.1136	21.2313	857.1429	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	109	bare	0.08	-0.3645	-0.0887	120	-0.3653	29.4737	-0.1475	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_7g.asc	111	bare	0.08	-0.3645	-0.0887	120	-0.3653	29.4737	-0.1475	10	1500	1
