LID	PID	TYPE	AREA	AREA_CSD	AREA_LSD	PERIM	PERIM_CSD	PERIM_CPS	PERIM_LSD	GYRATE	PARA	SHAPE
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_4e.asc	1	arable	25.12	-0.0202	0.8313	3080	0.0034	57.1429	0.9786	222.2197	122.6115	1.5098
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_4e.asc	10	arable	0.08	-0.8493	-0.1659	120	-1.0102	0	-0.2496	10	1500	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_4e.asc	14	arable	0.16	-0.8466	-0.1627	200	-0.9828	14.2857	-0.2164	17.6757	1250	1.25
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_4e.asc	73	arable	1.64	-0.7976	-0.1037	640	-0.8321	28.5714	-0.0338	51.9691	390.2439	1.2308
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_4e.asc	99	arable	16.32	-0.3116	0.4808	2640	-0.1473	42.8571	0.7961	187.0166	161.7647	1.6098
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_4e.asc	125	arable	28.2	0.0818	0.9539	3320	0.0856	71.4286	1.0782	229.1324	117.7305	1.537
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_4e.asc	133	arable	97.8	2.3862	3.7256	9480	2.1951	100	3.6343	498.8285	96.9325	2.3939
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_4e.asc	142	arable	36.52	0.3573	1.2852	5080	0.6883	85.7143	1.8085	334.4487	139.1019	2.082
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_4e.asc	2	grassland	25.72	0.2736	0.8552	4520	0.6497	94.1176	1.5762	298.4545	175.7387	2.2157
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_4e.asc	4	grassland	0.32	-0.2113	-0.1563	320	-0.2574	52.9412	-0.1666	28.3695	1000	1.3333
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_4e.asc	6	grassland	1.68	-0.1854	-0.1022	720	-0.1711	67.6471	-0.0006	60.3294	428.5714	1.3846
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_4e.asc	7	grassland	3.48	-0.151	-0.0305	1040	-0.1019	82.3529	0.1322	77.6971	298.8506	1.3684
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_4e.asc	9	grassland	314.72	5.7907	12.3638	27480	5.6085	100	11.1032	816.1411	87.3157	3.8596
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_4e.asc	15	grassland	2	-0.1793	-0.0894	1000	-0.1106	79.4118	0.1156	73.2606	500	1.6667
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_4e.asc	24	grassland	0.04	-0.2167	-0.1675	80	-0.3093	0	-0.2662	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_4e.asc	37	grassland	0.16	-0.2144	-0.1627	200	-0.2834	41.1765	-0.2164	15.1379	1250	1.25
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_4e.asc	67	grassland	1.28	-0.193	-0.1181	680	-0.1797	64.7059	-0.0172	51.4525	531.25	1.4167
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_4e.asc	79	grassland	0.04	-0.2167	-0.1675	80	-0.3093	0	-0.2662	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_4e.asc	92	grassland	0.04	-0.2167	-0.1675	80	-0.3093	0	-0.2662	10	2000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_4e.asc	97	grassland	0.16	-0.2144	-0.1627	200	-0.2834	41.1765	-0.2164	17.6757	1250	1.25
C:\Users\JetteR\ownCloud\Bibs\Fragstats\150x150\Agroscapelab_20m_150x150_4e.asc	109	grassland	1.8	-0.1831	-0.0974	840	-0.1451	73.5294	0.0492	60.2394	466.6667	1.5
