"Type"	"ID"	"R"	"b"	"c"	"mu"	"omega"	"dispsd"	"dispmean"	"flying_period"	"dist_eff"	"trans_effect_nest"	"trans_effect_res"
1	1	3.3	1	1	0.1	0.5	60	600	1	0.9	1	1
2	2	3.3	1	1	0.1	0.5	60	600	2	0.9	1	1
3	3	3.3	1	0	0.1	0.5	60	600	1	0.3	1	1
4	4	2.75	1	1	0.1	0.5	60	600	1	0.9	1	1
5	5	2.75	1	1	0.1	0.5	60	600	2	0.9	1	1
6	6	2.75	1	0	0.1	0.5	60	600	1	0.9	1	1
7	7	2.75	1	0	0.1	0.5	60	600	3	0.9	1	1
8	8	2.75	1	0	0.1	0.5	60	600	3	0.9	1	1
9	9	2.75	1	0	0.1	0.5	60	600	1	0.3	1	1
10	10	4.4	1	2	0.1	0.5	30	300	1	0.9	1	1
11	11	4.4	1	2	0.1	0.5	30	300	3	0.9	1	1
12	12	4.4	1	2	0.1	0.5	30	300	1	0.3	1	1
13	13	3.85	1	3	0.1	0.5	30	300	1	0.9	1	1
14	14	3.85	1	2	0.1	0.5	30	300	1	0.9	1	1
15	15	3.85	1	2	0.1	0.5	30	300	2	0.9	1	1
16	16	3.85	1	2	0.1	0.5	30	300	3	0.9	1	1
17	17	3.85	1	3	0.1	0.5	30	300	2	0.9	1	1
18	18	3.85	1	3	0.1	0.5	30	300	1	0.3	1	1
19	19	3.85	1	3	0.1	0.5	30	300	2	0.3	1	1
20	20	4.4	1	2	0.1	0.5	30	300	3	0.9	1	1
21	21	5.5	1	4	0.1	0.5	10	100	1	0.9	1	1
22	22	5.5	1	4	0.1	0.5	10	100	3	0.9	1	1
23	23	5.5	1	4	0.1	0.5	10	100	1	0.3	1	1
24	24	4.95	1	5	0.1	0.5	10	100	1	0.9	1	1
25	25	4.95	1	4	0.1	0.5	10	100	1	0.9	1	1
26	26	4.95	1	4	0.1	0.5	10	100	2	0.9	1	1
27	27	4.95	1	4	0.1	0.5	10	100	3	0.9	1	1
28	28	4.95	1	4	0.1	0.5	10	100	3	0.3	1	1
