SimNb	NameFtFile	NameLandscapePatchFile	NamePatchDefFile	NameNestSuitabilityFile	NameForageSuitabilityFile	Nrep	t_max	ymax	xmax	nb_LU	TZ_width	TZ_percentage	size_order	dispersal_tries	scaling	weather_std	p_dist_arable	p_dist_grass	p_dist_urban	p_dist_forest	p_dist_bare
1	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0	descending	100	20	0.15	1	0.8	0.7	0.3	0.7
2	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0	ascending	100	20	0.15	1	0.8	0.7	0.3	0.7
3	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0	descending	75	20	0.15	1	0.8	0.7	0.3	0.7
4	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0	descending	90	20	0.15	1	0.8	0.7	0.3	0.7
5	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0	descending	110	20	0.15	1	0.8	0.7	0.3	0.7
6	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0	descending	125	20	0.15	1	0.8	0.7	0.3	0.7
7	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0	descending	100	20	0.1125	1	0.8	0.7	0.3	0.7
8	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0	descending	100	20	0.135	1	0.8	0.7	0.3	0.7
9	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0	descending	100	20	0.165	1	0.8	0.7	0.3	0.7
10	Input/FT_Definitions.txt	Input/Agroscapelab_20m_150x150_1c_id4.asc	Input/Patch_ID_definitions_150x150_1c.txt	Input/LU_FT_suitability_nesting.txt	Input/LU_FT_suitability_forage_flying_period.txt	1	50	3000	3000	7	1	0	descending	100	20	0.1875	1	0.8	0.7	0.3	0.7
